Item,Serving,Calories,Carbs,Protein,Fat,Fiber,Food cause
Aloo methi sabzi,1 katori,113,16.3,2.4,4.3,2.7,
Kakadichi Koshimbir,1 Katori,52,4.4,2.4,2.9,0.5,
Jowar Bhakri,3 Piece,249,53.4,5.4,2.4,4.5,
Veg Clear Soup,1 Bowl,44,4.9,2.1,0.4,1.5,
Bhopla bhaji,1 katori,62,6.7,1.4,3.5,1.2,
Buttermilk with flaxseed powder,1 glass,55,2.2,2.6,4.2,0.9,
Egg biryani,1.5 katori,210,31.8,6.3,6,1.35,
Beetroot Koshimbir,1 Katori,48,3.9,1.1,3.1,1.9,
Peas Bhaji,1 Katori,88,8,2.7,5.1,4.3,
Bean salad,1 katori,55,7.4,1.9,2,2.1,
Nachni roti,2 pieces,174,38.4,4,0.8,6.2,
Stuffed/bharwan karela,2 pieces,130,6.6,2.2,10.8,5,
Matki Bhaji,1 Katori,85,13.8,3.7,2.6,1.1,
Curd,4 tbsp,36,2,2,2.4,0,
Nachni Bhakri,2 Piece,250,28.8,3,13.8,4.8,
Besan roti,2 pieces,266,30.6,7.2,12.8,5.2,
Chhole,1 katori,154,21,6.4,5.4,5.8,
Palak paneer,1.5 Small,265.5,9.15,9,21.45,3.15,
Chavli Bhaji,1 Katori,88,8.4,2.3,5.1,3.2,
Mix Veg Bhaji,1 Small,94,14.2,2.3,3.3,4,
Matar Paneer,1.5 Small,205.5,16.5,9.3,11.7,6.9,
Clear Vegetable Soup,1 Bowl,44,4.9,2.1,0.4,1.5,
Dudhi bhopla bhaji,1 katori,50,3.7,0.7,3.7,2.5,
Kadhi,1.5 Katori,184.5,11.85,5.4,12.9,1.2,
Shepu Bhaji,1 Katori,83,8.8,1.5,4.9,1.6,
Harbhara Bhaji,1 Katori,92,11.6,3,4,4.3,
Padwal Sabzi / Bhaji,1 Katori,45,3.3,0.9,3.2,1.6,
Dudhi Bhaji,1 Katori,42,4.2,0.6,2.6,3.1,
Sprouts Salad,1 Katori,24,5,1.7,0.2,1.4,
Chana lobia curry,1 katori,171,24.3,9,4.3,4.3,
Tinda sabzi,1 katori,55,3.5,1.2,4,0.9,
Millet and spinach khichdi,1.5 katori,105,16.05,4.35,2.55,2.7,
Stir fried mix vegetables,1 katori,82,5.6,3.4,5.2,1.5,
Cauliflower palya,1 katori,81,6.6,2.1,5.7,2.3,
Millet khichdi,1 katori,89,16.7,2.2,1.6,0.7,
Chicken drumstick gravy,1 katori,140,5.2,13.7,7.1,1.9,
Paneer masala,1 Small,181,7,7.9,13.8,2.1,
Chicken tikka sandwich,1 pc,276,26.4,11.2,12.7,5.1,
Paneer vegetable wrap,1 roll/,321,22.7,14.2,20.1,0.8,
Veg Tofu Fried Rice,1.5 Bowl,457.5,65.7,13.2,16.2,1.95,
Coconut Rice,1 Small,153,21.4,3.1,6.1,1.8,
Paneer Fried Rice,2 Katori,248,35.4,13.6,14.6,1.8,
Beetroot roti,1 pieces,87,16.2,2.9,1.2,2.9,
Ragi balls,2 ball,194,42.8,4.4,0.8,6.8,
Banana stem salad,1 katori,62,9.3,0.5,2.5,2.1,
Methi roti,2 pieces,178,36,6.4,1,5.8,
Roasted Papad,1 Piece,30,3.6,1.5,1.1,0.7,
Aaloo beans sabzi,1 katori,93,12,1.8,4.3,2.6,
Palak Khichdi,1 Katori,131,20.1,5.9,3.3,2.4,
Tomato Koshimbir,1 Katori,34,6.7,1.2,0.2,1.6,
Kobi Bhaji,1 Katori,65,4.7,1.9,4.2,2.8,
Chickpea vegetable salad,1 katori,82,12.5,3,2.5,4.6,
Laal Math Bhaji,1 Katori,79,9.1,4.5,3,5.3,
Moong Bhaji,1 Katori,150,21.8,8.5,3.3,7.1,
Matar paratha,1 piece,163,21.7,5,6.4,3,
Usal,1 katori,117,15.3,4.4,5.2,2.1,
Tondli Bhaji,1 Katori,49,4.6,1.3,2.7,2.8,
Karela Bhaji,1.5 Katori,123,11.85,3.45,7.2,8.4,
Bhoplyachi Bhaji,1 Katori,100,10.1,2.7,6.1,2.5,
Ambadi Bhaji,1 Katori,108,10,4,6.2,1.7,
Kobichi Bhaji,1.5 Katori,97.5,7.05,2.85,6.3,4.2,
Bell pepper sabzi,1 katori,71,7.2,1.2,4.6,1.9,
Papaya,1 cup,47,46,10.4,0.9,0.2,
Mosambi,1 piece,29,6.2,0.5,0.2,1.8,
Pear,1 piece,,77,17.6,0.9,0.3,
Granola bar,1 bar,119,16.9,1.9,4.9,2.2,
Peanut butter with whole wheat bread,1 slice,117,13,5.4,5.2,2.5,
Muskmelon,1 cup,84,27,5.6,0.5,0.3,
Papaya smoothie,1 glass,148,18.3,5.3,6.2,2.3,
Cashew Nuts,4 Piece,32,1.2,1.2,2.8,0,
Apple smoothie,1 glass,145,22,3.6,4.9,1.6,
Oatmeal porridge,1 katori,140,16.7,6.2,5.9,2,
walnuts,4 piece,56,0.8,1.2,5.6,0.8,
Fresh fruit salad,1 katori,60,14,0.9,0.5,3.6,
Pineapple,2 thin,52,12.2,0.4,0.2,3.2,
Masala oats,1 katori,80,12.8,2.3,2.2,2.4,
Orange,1 piece,32,46,10.5,0.7,0.2,
Pomegranate,0.5 cup,72,16.25,1.45,1,3.5,
Khakra,1 Piece,89,1.8,2.5,3,2,
Pumpkin seeds,1 tbsp,52,1.3,2.7,4.4,0.6,
Chiku,1 piece,59,12.8,0.4,0.7,6.5,
Figs,dried,2 piece,42,10.8,0.6,0.2,
Yoghurt,1 katori,90,4.5,4.7,6,0,
Banana oatmeal smoothie,1 glass,228,36.3,7.7,6,2.4,
Dates,1 piece,25,6.1,0.2,0,0.7,
Apricot dried,1 piece,20,4.9,0.1,0.1,0.5,
Dates jaggery laddu,1 pieces,103,10.9,1.7,5.9,1.5,
Chikoo Milkshake,0.5 Glass,103,15.6,2.6,3.4,6.1,
Banana peanut butter smoothie,0.5 glass,119.5,16.75,4.85,4.05,1.3,
Protein bar,1 bar,182,16.1,4.8,11.2,3.8,
Dry dates,2 piece,84,50,12.2,0.4,0,
Flax seeds,1 tbsp,55,3,1.9,4.4,2.8,
Raisins,1 tbsp,28,6.8,0.2,0,0.6,
Blueberries,1 In,17,3.5,0.2,0,0,
Khajur,3 Piece,120,23.7,2.4,1.8,2.1,
Sunflower seeds,1 tbsp,54,1.6,1.7,4.6,0.8,
Boiled moong and chana,1 katori,132,22.4,7.6,1.4,9,
Boiled sprouted chana,1 katori,161,27,8.7,2.6,7.5,
Sprouts,2 Katori,48,9.6,4.8,0.4,2.8,
Boiled kala chana,1 katori,161,27.2,7.6,2.4,12.6,
Boiled soyabean,0.5 cup,148,7.2,15.65,7.7,5.15,
